ZIPCODE,ADDRESS,FACILITY,LINK,FEATURE,LAT,LNG
19121.0,2501-59 DIAMOND ST,"Gathers, Hank YAC",http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=750,Pool,39.9872301738,-75.1746062059
19122.0,1101 W SUSQUEHANNA AVE,Penrose Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=810,Pool,39.9858455955,-75.1515409456
19134.0,2901 CEDAR ST,Cohocksink Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=726,Pool,39.9840750986,-75.1131388887
19121.0,1817-59 N 16TH ST,Amos Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=704,Pool,39.9816301895,-75.1604397038
19125.0,2600 ARAMINGO AVE,Cione Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=724,Pool,39.9805007526,-75.1184978222
19121.0,2101-35 CECIL B MOORE AVE,"King, Martin Luther Recreation Center",http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=772,Pool,39.9803377099,-75.1694904384
19131.0,4200 LANSDOWNE DR,Kelly Pool,http://www.phila.gov/parksandrecreation/findafacility/,Pool,39.9789399318,-75.2090574512
19121.0,1401-55 N 27TH ST,Athletic Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=707,Pool,39.9778897966,-75.179384177
19131.0,1701 BELMONT AVE,Carousel House,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=717,Pool,39.9778441185,-75.2125690747
19122.0,1501-39 N 10TH ST,Dendy Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=864,Pool,39.9754471559,-75.1509972545
19131.0,5431-43 LANSDOWNE AVE,Baker Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=709,Pool,39.9771010021,-75.2311884478
19122.0,1400-52 N 05TH ST,Cruz Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=729,Pool,39.9732513375,-75.1447391141
19139.0,250 S 63RD ST,Cobbs Creek Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=885,Pool,39.9728378562,-75.1374106931
19125.0,1202-32 E MONTGOMERY AVE,Fishtown (Lederer) Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=741,Pool,39.9720854353,-75.1273237066
19121.0,1737-39 FRANCIS ST,Francisville Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=746,Pool,39.9684150036,-75.1664240802
19123.0,800 N 08TH ST,East Poplar Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=733,Pool,39.967854881,-75.1507452144
19131.0,5700 HAVERFORD AVE,Shepard Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=830,Pool,39.9678991724,-75.2342225669
19104.0,700-14 N 39TH ST,39Th St & Olive Playground,http://www.phila.gov/parksandrecreation/findafacility/,Pool,39.9659856478,-75.2003917548
19139.0,743-81 N 48TH ST,Mill Creek Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=793,Pool,39.965829082,-75.2160747682
19123.0,313-27 FAIRMOUNT AVE,Northern Liberties Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=805,Pool,39.9626476967,-75.1437351167
19101.0,4310 HAVERFORD AVE,Lee Cultural Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=778,Pool,39.9616781875,-75.2102499786
19139.0,5825 SPRUCE ST,Sayre-Morris Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/,Pool,39.9564168887,-75.2388309423
19143.0,728 S 55TH ST,Christy Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=722,Pool,39.9487627461,-75.2344502533
19146.0,2601-13 SOUTH ST,O'Connor Pool,http://www.phila.gov/parksandrecreation/findafacility/,Pool,39.9460081539,-75.1833153443
19143.0,4901 KINGSESSING AVE,Kingsessing Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=773,Pool,39.9431020543,-75.2157269679
19146.0,740 S 17TH ST,"Anderson, Marian Recreation Center",http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=706,Pool,39.9420317118,-75.1716050804
19122.0,147 MASTER ST,Hancock Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=756,Pool,39.9402410543,-75.2112625166
19147.0,1200 CARPENTER ST,Hawthorne Cultural Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=758,Pool,39.9384228953,-75.1630618408
19146.0,1800 WASHINGTON AVE,Chew Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=721,Pool,39.9384265805,-75.1734909186
19146.0,1400 S 32ND ST,Stinger Square Playground,http://www.phila.gov/parksandrecreation/findafacility/,Pool,39.9361693097,-75.197586918
19143.0,5800 CHESTER AVE,"Myers, Francis Recreation Center",http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=802,Pool,39.9347853154,-75.2281038925
19145.0,2600 MORRIS ST,Vare Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=844,Pool,39.9312965131,-75.1895214767
19148.0,609-39 SNYDER AVE,Ford Playground P.A.L,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=743,Pool,39.922963595,-75.1573751523
19130.0,1800 WALLACE ST,Clemente Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=725,Spray Ground,39.9657863902,-75.1678060177
19121.0,1401-55 N 27TH ST,Athletic Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=707,Spray Ground,39.9773293374,-75.1785961886
19147.0,1322 S 02ND ST,Herron Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=761,Spray Ground,39.9306853109,-75.1483003992
19124.0,1101 E CAYUGA ST,Ferko Playground,http://www.phila.gov/parksandrecreation/findafacility/,Spray Ground,40.0146683114,-75.1049408291
19131.0,5301 PARKSIDE AVE,Parkside-Evans Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=873,Spray Ground,39.9826490832,-75.2265921163
19144.0,5826 MC MAHON AVE,Waterview Recreation Center,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=849,Spray Ground,40.0455544793,-75.168632389
19154.0,3102 MECHANICSVILLE RD,Junod Park,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=769,Spray Ground,40.1026872756,-74.9699425597
19145.0,2200 S 24TH ST,Smith Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=836,Spray Ground,39.9254879785,-75.1869238713
19143.0,4740 Woodland Ave,48th & Woodland Playground,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=860,Spray Ground,39.9416053948,-75.2092652226
