NAME,DISTRICT,ADDRESS,ZIPCODE,LAT,LNG
Innyard Park,5,4208-52 RIDGE AVE,19129,40.0091009487,-75.1953009131
Lovett Park,4,6923-45 GERMANTOWN AVE,19119,40.0566621956,-75.1875333838
Three Parkway,5,110 N 16TH ST,19103,39.9555458853,-75.1667628999
Buist Park,8,2528 HOBSON ST,19142,39.9187025036,-75.233144772
Fairview Park,4,4418 MANAYUNK AVE,19128,40.030409766,-75.2201766476
Winston Park,4,181-85 E WILLOW GROVE AVE,19118,40.0726605034,-75.1992382271
Konrad Square,2,2200-26 E DAUPHIN ST,19125,39.9793479255,-75.1279385792
Woodward Pines,4,7930-34 LINCOLN DR,19118,40.0671505116,-75.2030540362
Levy Park,5,1619-29 ARCH ST,19103,39.9552316796,-75.1674797233
Nichols Park,8,5430-46 RACE ST,19139,39.963443284,-75.2296163973
Frankford & Pennypack Park,1,4400 PENNYPACK ST,19136,40.047013679,-75.0140058339
Powers Park,2,2987 ALMOND ST,19134,39.9825305232,-75.108908979
Gold Star Park,7,613 WHARTON ST,19147,39.932895708,-75.1551914639
Hawthorne Park,7,750 S 12TH ST,19147,39.9406638095,-75.1628055692
Tolentine Community Park,7,1025-33 MIFFLIN ST,19148,39.9264434732,-75.1634412676
Cedar Park,8,4917-53 BALTIMORE AVE,19143,39.9482236147,-75.2226778145
75th & Chelwynde Park,8,2604 ISLAND AVE,19153,39.9100889046,-75.2429452687
Palmer Park,2,1701-21 FRANKFORD AVE,19125,39.9748842131,-75.1325347586
Ben Barkan Park,8,4936-58 SPRUCE ST,19143,39.9538041633,-75.2216052489
Fitler Square,5,2301-23 PINE ST,19103,39.9475992711,-75.1797827756
Triangle Park,8,5425R-65 UPLAND WAY,19131,39.9834197817,-75.2319272612
Cianfrani Park,7,721 S 08TH ST,19147,39.9406913921,-75.15540327
Merritt Square,3,1321 STEINBER ST,19124,40.0041147756,-75.1024790552
La Noce Park,4,5119 ROCHELLE AVE,19128,40.0177269657,-75.2107300261
Mario Lanza Park,7,214 CATHARINE ST,19147,39.9374152565,-75.1472798273
Mollbore Terrace Park,7,1226 MOLLBORE TER,19148,39.9157021097,-75.1682278876
Kopernicus Triangle,5,1716-34 RACE ST,19103,39.9567744065,-75.1685547286
Ross Park,3,1000 W GLENWOOD AVE,19133,39.9993473817,-75.1466176929
Weinberg Park,7,2201-09 S 06TH ST,19148,39.9212584406,-75.1565566081
Louis Kahn Park,5,328-38 S 11TH ST,19107,39.9451654454,-75.1600275657
